nsp|fn|fn_args|fn_returns|fn_kind|security_definer|fn_owner|fn_config|fn_lang|src_md5|body_refs_miniapp|fn_acl
admin|validate_model_catalog_draft_trigger||trigger|f|f|postgres|search_path=pg_catalog|plpgsql|f3ead8aff729b4c60942a3af2bcd095f|f|(default)
admin|validate_model_catalog_prd|p_value jsonb|void|f|f|postgres|search_path=pg_catalog|plpgsql|330b36767ef43a77048f46cdf56baa4e|f|postgres=X/postgres
admin|validate_operations_config_draft_trigger||trigger|f|f|postgres|search_path=pg_catalog|plpgsql|d9f8f5eb0173574275c37f96f5f04340|f|postgres=X/postgres
admin|validate_payment_plan_ids|p_value jsonb|void|f|f|postgres|search_path=pg_catalog|plpgsql|b492b2e53690e47573a812fa5b31786b|f|postgres=X/postgres
admin|validate_payment_plans_draft_trigger||trigger|f|f|postgres|search_path=pg_catalog|plpgsql|109fddbb204027bb5d3db26cdb3e6acc|f|postgres=X/postgres
admin|validate_payment_prompt_dialog_config|p_value jsonb|void|f|f|postgres|search_path=pg_catalog|plpgsql|2f02dca0c9dfd7fe50e012e1dd1a8938|f|postgres=X/postgres
admin|validate_platform_preset_payload|p_payload jsonb|void|f|f|postgres|search_path=pg_catalog|plpgsql|d4cc00d36eb7c712781b49b95988c2e4|f|postgres=X/postgres
admin|validate_recharge_page_config|p_value jsonb|void|f|f|postgres|search_path=pg_catalog|plpgsql|541c23719787a3341e4b4e06abd3b87e|f|postgres=X/postgres
cs_platform|normalize_persona_sql|p_sql text|text|f|f|postgres||plpgsql|0bdd08c2a3bc175a92642d64063b3249|f|(default)
cs_platform|refresh_persona_members|p_persona_id uuid, p_operator_id text|jsonb|f|t|postgres||plpgsql|3df1878aa2b41c98058de56886d442b0|f|=X/postgres postgres=X/postgres service_role=X/postgres
cs_platform|validate_persona_sql|p_sql text|void|f|f|postgres||plpgsql|2d1d91b9a70233d4aa7d6f67da070799|f|=X/postgres postgres=X/postgres service_role=X/postgres
miniapp|apply_context_window_flood|p_session_id uuid, p_completed_turns integer, p_current_start integer, p_max_turns integer, p_retain_turns integer|integer|f|t|postgres|search_path=pg_catalog|plpgsql|1b11eaa48e2d461547a24c865070e50a|t|postgres=X/postgres
miniapp|charge_llm_usage|p_charge_key uuid, p_generation_id text, p_user_id uuid, p_model_id text, p_model_openrouter_id text, p_model_display_name text, p_catalog_version integer, p_pricing_config_version integer, p_usage_cost_usd numeric, p_exchange_rate numeric, p_model_markup numeric, p_calculated_amount numeric, p_fallback_used boolean, p_metadata jsonb|jsonb|f|t|postgres|search_path=pg_catalog|plpgsql|7584c545cdb01eae742bedecf2618d86|t|postgres=X/postgres service_role=X/postgres
miniapp|claim_daily_checkin|p_user_id uuid|jsonb|f|t|postgres||plpgsql|23c6fa834bae3245354634bf7cec4df4|t|=X/postgres postgres=X/postgres service_role=X/postgres
miniapp|complete_payment_order|p_order_id text, p_provider_transaction_id text|miniapp.payment_orders|f|t|postgres||plpgsql|9eb74ed692e1cb8bf0d5c0c4c80e07e5|t|=X/postgres postgres=X/postgres service_role=X/postgres
miniapp|complete_wish_role|p_db_user_id uuid, p_telegram_user_id bigint, p_wish_id uuid, p_extra_text text|jsonb|f|t|postgres||plpgsql|b185ab0c0bb92b9db199bce0520a12a3|t|=X/postgres postgres=X/postgres service_role=X/postgres
miniapp|create_wish_role|p_db_user_id uuid, p_telegram_user_id bigint, p_wish_text text, p_reward_credits integer|jsonb|f|t|postgres||plpgsql|abb6f8c7dcaad38622b0523c96392270|t|=X/postgres postgres=X/postgres service_role=X/postgres
miniapp|deduct_wallet_credits|p_user_id uuid, p_amount numeric|miniapp.user_wallets|f|t|postgres|search_path=pg_catalog|plpgsql|fa6a30d6056c200ab317c28d455a1948|t|postgres=X/postgres service_role=X/postgres
miniapp|expire_payment_orders|p_user_id uuid|integer|f|t|postgres||plpgsql|bae7d774e93e5c87183f3e92bd9b1b1e|t|=X/postgres postgres=X/postgres service_role=X/postgres
miniapp|finalize_character_free_chat_round|p_charge_key uuid, p_success boolean|jsonb|f|t|postgres|search_path=pg_catalog|plpgsql|98fa811e46a5158ec6b1fc30b10974cb|t|postgres=X/postgres service_role=X/postgres
miniapp|get_character_favorite_counts|p_character_ids uuid[]|TABLE(character_id uuid, favorite_count bigint)|f|t|postgres|search_path=pg_catalog|sql|36112338f0821207c734238ced0c6453|t|postgres=X/postgres service_role=X/postgres
miniapp|grant_new_user_signup_bonus|p_user_id uuid|miniapp.user_wallets|f|t|postgres|search_path=miniapp, public|plpgsql|ccc8f7310d1f03f389aaaa5efef2b503|t|postgres=X/postgres service_role=X/postgres
miniapp|grant_wallet_on_user_insert||trigger|f|t|postgres|search_path=miniapp, public|plpgsql|c1bc9656d4e4bcb52210284120efb611|t|(default)
miniapp|guard_chat_session_idle|p_session_id uuid, p_stale_after_seconds integer|void|f|t|postgres|search_path=pg_catalog|plpgsql|4b6d3b9c330a09e123fdfaf56b51fb63|t|postgres=X/postgres
miniapp|increment_user_total_round|p_user_id uuid, p_delta integer|void|f|t|postgres|search_path=miniapp, public|plpgsql|184b43bb46edd7e5ee059688333125cf|t|=X/postgres postgres=X/postgres service_role=X/postgres
miniapp|list_character_favorites|p_user_id uuid|TABLE(character_id uuid, created_at timestamp with time zone)|f|t|postgres|search_path=pg_catalog|sql|58983781df8e0b337132e473b2e4a338|t|postgres=X/postgres service_role=X/postgres
miniapp|prepare_llm_usage_charge||trigger|f|t|postgres|search_path=pg_catalog|plpgsql|2761187cfe32390998b1879b9450d8b8|t|(default)
miniapp|reconcile_llm_usage|p_charge_key uuid, p_usage_cost_usd numeric, p_calculated_amount numeric, p_metadata jsonb|jsonb|f|t|postgres|search_path=pg_catalog|plpgsql|e7b9e331e67e3e6e174b2d752668b72d|t|postgres=X/postgres service_role=X/postgres
miniapp|reserve_character_free_chat_round|p_charge_key uuid, p_user_id uuid, p_character_id uuid, p_quota_limit integer|jsonb|f|t|postgres|search_path=pg_catalog|plpgsql|597b291cd3268a888dcf1b313a66d977|t|postgres=X/postgres service_role=X/postgres
miniapp|retain_recent_llm_usage_charges||trigger|f|t|postgres|search_path=pg_catalog|plpgsql|b3b96c6fc1125a22cd5f70e8b1d08d87|t|(default)
miniapp|set_character_favorite|p_user_id uuid, p_character_id uuid, p_favorited boolean|jsonb|f|t|postgres|search_path=pg_catalog|plpgsql|308a05757efaf9f8119e81d5790886a4|t|postgres=X/postgres service_role=X/postgres
miniapp|start_chat_history_regeneration|p_session_id uuid, p_turn_index integer, p_model text, p_stale_after_seconds integer, p_max_context_turns integer, p_retain_context_turns integer|jsonb|f|t|postgres|search_path=pg_catalog|plpgsql|845b623509b22decd3bd1bb5200a4337|t|postgres=X/postgres service_role=X/postgres
miniapp|start_chat_history_turn|p_session_id uuid, p_user_content text, p_model text, p_stale_after_seconds integer, p_max_context_turns integer, p_retain_context_turns integer|jsonb|f|t|postgres|search_path=pg_catalog|plpgsql|0ebe3cdc0ad647992d22868ef7bdb5cb|t|postgres=X/postgres service_role=X/postgres
miniapp|tf_refresh_chat_session_stats_from_history||trigger|f|t|postgres|search_path=pg_catalog|plpgsql|247e2d45516758bc007ee6ad9952e771|t|(default)
miniapp|tf_track_character_listing||trigger|f|f|postgres|search_path=pg_catalog, public|plpgsql|037a3391d95c04c05a9bbd9d42a22d25|f|(default)
miniapp_traffic|increment_click|p_source_id text|void|f|t|postgres|search_path=miniapp_traffic, public|sql|25adaf6e7b6fe24d190ad880202fb9a5|f|=X/postgres postgres=X/postgres service_role=X/postgres
public|compute_daily_metrics|p_from date, p_to date|void|f|f|postgres||plpgsql|94423bd9a7a9703d5f549a59b50aef40|t|=X/postgres postgres=X/postgres anon=X/postgres authenticated=X/postgres service_role=X/postgres
public|show_dashboard||TABLE("统计日期" date, "D7新转老转化率%" numeric, "单次session轮次P50" numeric, "单次session时长P50(分钟)" numeric)|f|f|postgres||plpgsql|ff9de3662e26b72393e25dc0154dac08|f|=X/postgres postgres=X/postgres anon=X/postgres authenticated=X/postgres service_role=X/postgres
